Strike,DaysToMaturity,Bid,Ask,ImpliedVolatility
475,270,4.85,5.15,0.157633564137862
480,270,4.84,5.16,0.15609035426131873
485,270,4.84,5.16,
490,270,4.83,5.17,0.1533743048786027
495,270,4.82,5.18,0.1522014653724299
500,270,4.82,5.18,0.15115208265638047
505,270,4.81,5.19,0.15022615673045459
510,270,4.81,5.19,0.14942368759465208
515,270,4.8,5.2,0.1487446752489731
520,270,4.8,5.2,0.14818911969341753
380,360,4.8,5.2,0.21307241786966669
385,360,4.8,5.2,0.2091835289807778
390,360,4.81,5.19,0.2054180968820124
395,360,4.81,5.19,
400,360,4.82,5.18,0.1982576030548519
405,360,4.82,5.18,0.1948625413264568
410,360,4.83,5.17,
415,360,4.84,5.16,0.18844278824003707
420,360,4.84,5.16,0.18541809688201238
425,360,4.85,5.15,0.18251686231411113
430,360,4.85,5.15,0.17973908453633336
435,360,4.86,5.14,0.17708476354867903
440,360,4.86,5.14,0.17455389935114818
445,360,4.87,5.13,
450,360,4.88,5.12,0.16986254132645684
455,360,4.87,5.13,0.16770204749929635
460,360,4.86,5.14,
465,360,4.86,5.14,0.16375143021534572
470,360,4.85,5.15,0.16196130675855558
475,360,4.85,5.15,0.16029464009188893
480,360,4.84,5.16,0.1587514302153457
485,360,4.84,5.16,0.15733167712892598
490,360,4.83,5.17,0.0
495,360,4.82,5.18,0.15486254132645683
500,360,4.82,5.18,0.15381315861040745
505,360,4.81,5.19,0.1528872326844815
510,360,4.81,5.19,5.0
515,360,4.8,5.2,0.15140575120300004
520,360,4.8,5.2,0.15085019564744445
